ID,Latitude,Longitude,poi,lat,long,distance
1368063,40.71628,-73.95737,Statue of Liberty,40.6891078,-74.0440954,
1369168,40.7146,-73.991,Statue of Liberty,40.6891078,-74.0440954,
1372482,40.58147,-73.96726,Statue of Liberty,40.6891078,-74.0440954,
1373034,40.79771,-73.96323,Statue of Liberty,40.6891078,-74.0440954,
1373586,40.81512,-73.94692,Statue of Liberty,40.6891078,-74.0440954,
1378005,40.73714,-73.95296,Statue of Liberty,40.6891078,-74.0440954,
1379662,40.73793,-73.95316,Statue of Liberty,40.6891078,-74.0440954,
1380214,40.68197,-73.96549,Statue of Liberty,40.6891078,-74.0440954,
1380766,40.70271,-73.91566,Statue of Liberty,40.6891078,-74.0440954,
1381318,40.7116,-73.9529,Statue of Liberty,40.6891078,-74.0440954,
1381871,40.69241,-73.94885,Statue of Liberty,40.6891078,-74.0440954,
1382423,40.72004,-73.99424,Statue of Liberty,40.6891078,-74.0440954,
1382975,40.74511,-73.92398,Statue of Liberty,40.6891078,-74.0440954,
1383528,40.74599,-74.00253,Statue of Liberty,40.6891078,-74.0440954,
1385737,40.71408,-73.9489,Statue of Liberty,40.6891078,-74.0440954,
1386841,40.67379,-73.98454,Statue of Liberty,40.6891078,-74.0440954,
1387394,40.70554,-73.76637,Statue of Liberty,40.6891078,-74.0440954,
1388498,40.74618,-74.00392,Statue of Liberty,40.6891078,-74.0440954,
1389051,40.81872,-73.94567,Statue of Liberty,40.6891078,-74.0440954,
1389603,40.59251,-74.06479,Statue of Liberty,40.6891078,-74.0440954,
1390708,40.59262,-74.06659,Statue of Liberty,40.6891078,-74.0440954,
1391260,40.69142,-73.97203,Statue of Liberty,40.6891078,-74.0440954,
1392364,40.68338,-73.95289,Statue of Liberty,40.6891078,-74.0440954,
1392917,40.72953,-74.00462,Statue of Liberty,40.6891078,-74.0440954,
1394574,40.73378,-74.00429,Statue of Liberty,40.6891078,-74.0440954,
1395678,40.64468,-73.94219,Statue of Liberty,40.6891078,-74.0440954,
1396231,40.7193,-73.98966,Statue of Liberty,40.6891078,-74.0440954,
1396783,40.73312,-74.0042,Statue of Liberty,40.6891078,-74.0440954,
1398440,40.82151,-73.94516,Statue of Liberty,40.6891078,-74.0440954,
1398992,40.72059,-73.9567,Statue of Liberty,40.6891078,-74.0440954,
1400097,40.79433,-73.9765,Statue of Liberty,40.6891078,-74.0440954,
1400649,40.81055,-73.95549,Statue of Liberty,40.6891078,-74.0440954,
1404515,40.78448,-73.97289,Statue of Liberty,40.6891078,-74.0440954,
1407277,40.71905,-73.99677,Statue of Liberty,40.6891078,-74.0440954,
1407829,40.70741,-74.00102,Statue of Liberty,40.6891078,-74.0440954,
1409486,40.64277,-73.97296,Statue of Liberty,40.6891078,-74.0440954,
1410038,40.79111,-73.94466,Statue of Liberty,40.6891078,-74.0440954,
1410590,40.79951,-73.95257,Statue of Liberty,40.6891078,-74.0440954,
1411143,40.71647,-73.93974,Statue of Liberty,40.6891078,-74.0440954,
1412247,40.66431,-73.93216,Statue of Liberty,40.6891078,-74.0440954,
1413352,40.70278,-73.92673,Statue of Liberty,40.6891078,-74.0440954,
1414456,40.68812,-73.93254,Statue of Liberty,40.6891078,-74.0440954,
1415009,40.72454,-73.99151,Statue of Liberty,40.6891078,-74.0440954,
1415561,40.71073,-73.96207,Statue of Liberty,40.6891078,-74.0440954,
